날짜,여성의류,남성의류
2019-07-23,52,6
2019-07-24,52,6
2019-07-25,50,5
2019-07-26,47,5
2019-07-27,51,5
2019-07-28,57,6
2019-07-29,49,6
2019-07-30,49,5
2019-07-31,49,5
2019-08-01,47,5
2019-08-02,45,5
2019-08-03,48,5
2019-08-04,52,6
2019-08-05,45,5
2019-08-06,46,5
2019-08-07,46,5
2019-08-08,46,5
2019-08-09,43,4
2019-08-10,47,5
2019-08-11,52,5
2019-08-12,45,5
2019-08-13,45,5
2019-08-14,44,4
2019-08-15,52,5
2019-08-16,43,4
2019-08-17,48,5
2019-08-18,50,5
2019-08-19,42,5
2019-08-20,43,5
2019-08-21,43,5
2019-08-22,41,4
2019-08-23,40,4
2019-08-24,50,5
2019-08-25,53,6
2019-08-26,44,5
2019-08-27,48,6
2019-08-28,49,6
2019-08-29,49,6
2019-08-30,46,5
2019-08-31,53,6
2019-09-01,60,8
2019-09-02,51,8
2019-09-03,54,8
2019-09-04,53,8
2019-09-05,51,7
2019-09-06,48,6
2019-09-07,60,8
2019-09-08,60,9
2019-09-09,49,7
2019-09-10,47,6
2019-09-11,42,5
2019-09-12,40,6
2019-09-13,37,6
2019-09-14,53,9
2019-09-15,63,11
2019-09-16,57,10
2019-09-17,57,9
2019-09-18,57,9
2019-09-19,56,10
2019-09-20,54,9
2019-09-21,68,13
2019-09-22,78,16
2019-09-23,63,14
2019-09-24,64,13
2019-09-25,61,12
2019-09-26,57,11
2019-09-27,55,9
2019-09-28,61,10
2019-09-29,65,12
2019-09-30,54,10
2019-10-01,57,10
2019-10-02,58,10
2019-10-03,65,11
2019-10-04,54,9
2019-10-05,64,11
2019-10-06,71,14
2019-10-07,65,15
2019-10-08,60,14
2019-10-09,77,18
2019-10-10,66,16
2019-10-11,59,12
2019-10-12,67,15
2019-10-13,73,17
2019-10-14,64,16
2019-10-15,65,16
2019-10-16,67,16
2019-10-17,65,15
2019-10-18,62,13
2019-10-19,67,14
2019-10-20,74,17
2019-10-21,65,15
2019-10-22,65,13
2019-10-23,66,13
2019-10-24,62,12
2019-10-25,56,10
2019-10-26,69,15
2019-10-27,79,19
2019-10-28,71,18
2019-10-29,71,17
2019-10-30,70,17
2019-10-31,65,15
2019-11-01,60,13
2019-11-02,75,16
2019-11-03,81,19
2019-11-04,70,16
2019-11-05,71,16
2019-11-06,73,16
2019-11-07,74,17
2019-11-08,73,18
2019-11-09,81,20
2019-11-10,92,25
2019-11-11,79,21
2019-11-12,79,20
2019-11-13,85,21
2019-11-14,83,22
2019-11-15,78,20
2019-11-16,84,20
2019-11-17,100,24
2019-11-18,88,24
2019-11-19,92,25
2019-11-20,88,22
2019-11-21,81,18
2019-11-22,72,14
2019-11-23,79,15
2019-11-24,91,18
2019-11-25,80,17
2019-11-26,78,15
2019-11-27,81,15
2019-11-28,79,15
2019-11-29,72,13
2019-11-30,82,15
2019-12-01,98,20
2019-12-02,82,18
2019-12-03,85,17
2019-12-04,84,16
2019-12-05,84,16
2019-12-06,78,15
2019-12-07,88,17
2019-12-08,96,19
2019-12-09,81,16
2019-12-10,78,14
2019-12-11,78,13
2019-12-12,73,12
2019-12-13,68,11
2019-12-14,79,13
2019-12-15,85,15
2019-12-16,70,12
2019-12-17,70,12
2019-12-18,63,10
2019-12-19,59,10
2019-12-20,56,9
2019-12-21,64,11
2019-12-22,70,13
2019-12-23,57,10
2019-12-24,49,8
2019-12-25,66,11
2019-12-26,56,10
2019-12-27,52,9
2019-12-28,62,10
2019-12-29,68,11
2019-12-30,55,9
2019-12-31,47,8
2020-01-01,63,11
